ObjectID;GlobalID;p_or_o;no_seq_ind_labo;odonate;papillon;o_p_FS;abondance_labo;rank_labo;category_labo;vernacular_fr_labo;ParentGlobalID;CreationDate;Creator;EditDate;Editor
1;3549a93a-6a36-4be8-a006-cbfd97edf9d3;odonates;1664;Gomphaeschna furcillata;;;5;;;;503b6160-369b-4d2c-8c0a-6d9409f40b8e;12/18/2020 4:55:43 PM;Faune_Centre;12/18/2020 4:55:43 PM;Faune_Centre
2;096e57bb-c7de-4bf1-8572-4c57849151f8;papilionidés;1667;;Chlosyne palla;;3;;;;503b6160-369b-4d2c-8c0a-6d9409f40b8e;12/18/2020 4:55:43 PM;Faune_Centre;12/18/2020 4:55:43 PM;Faune_Centre
